molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked
MC-58,medchem_baseline,traditional_medicinal_chemistry,C.C.C#N.C#N.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,C.C.C#N.C#N.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,17,0.0,0.2188,0.4124,0.075,0.0536,0.925,0.5,0.2188,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-60,medchem_baseline,traditional_medicinal_chemistry,C.C.C#N.C#N.I.I.I.I.O=C(I)C(I)=CI,C.C.C#N.C#N.I.I.I.I.O=C(I)C(I)=CI,17,0.0,0.2238,0.4157,0.0769,0.0545,0.9231,0.5,0.2238,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:35Z,D_chemically_novel,
MC-79,medchem_baseline,traditional_medicinal_chemistry,CC.Cl.Cl.O=C(Cl)C(Cl)=CO,CC.Cl.Cl.O=C(Cl)C(Cl)=CO,24,0.0,0.1938,0.3942,0.0789,0.0698,0.9211,0.5,0.1938,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-80,medchem_baseline,traditional_medicinal_chemistry,Br.Br.CC.O=C(Br)C(Br)=CO,Br.Br.CC.O=C(Br)C(Br)=CO,24,0.25,0.2088,0.4054,0.0789,0.0769,0.9211,0.5,0.2088,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-81,medchem_baseline,traditional_medicinal_chemistry,CC.I.I.O=C(I)C(I)=CO,CC.I.I.O=C(I)C(I)=CO,24,0.0,0.1988,0.398,0.0789,0.0698,0.9211,0.5,0.1988,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-82,medchem_baseline,traditional_medicinal_chemistry,CBr.Cl.O=C(Cl)C(O)=CO,CBr.Cl.O=C(Cl)C(O)=CO,25,0.25,0.2138,0.4089,0.075,0.0732,0.925,0.5,0.2138,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-83,medchem_baseline,traditional_medicinal_chemistry,Br.CBr.O=C(Br)C(O)=CO,Br.CBr.O=C(Br)C(O)=CO,25,0.25,0.2138,0.4089,0.0769,0.075,0.9231,0.5,0.2138,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-84,medchem_baseline,traditional_medicinal_chemistry,CBr.I.O=C(I)C(O)=CO,CBr.I.O=C(I)C(O)=CO,25,0.25,0.2138,0.4089,0.075,0.0732,0.925,0.5,0.2138,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-94,medchem_baseline,traditional_medicinal_chemistry,Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.ClC(Cl)Cl,Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.ClC(Cl)Cl,30,0.0,0.1688,0.3734,0.0588,0.0345,0.9412,0.5,0.1688,OUT-OF-DOMAIN,substituent swap to Cl,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-95,medchem_baseline,traditional_medicinal_chemistry,Br.Br.Br.Br.Br.Br.Br.Br.Br.ClC(Cl)Cl,Br.Br.Br.Br.Br.Br.Br.Br.Br.ClC(Cl)Cl,30,0.25,0.1688,0.3734,0.0588,0.0345,0.9412,0.5,0.1688,OUT-OF-DOMAIN,substituent swap to Br,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-96,medchem_baseline,traditional_medicinal_chemistry,ClC(Cl)Cl.I.I.I.I.I.I.I.I.I,ClC(Cl)Cl.I.I.I.I.I.I.I.I.I,30,0.0,0.1688,0.3734,0.0588,0.0345,0.9412,0.5,0.1688,OUT-OF-DOMAIN,substituent swap to I,untested,2026-09-09T03:57:36Z,D_chemically_novel,
MC-0,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,0.25,0.3438,0.474,0.2051,0.2051,0.7949,0.5,0.3438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
MC-1,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)CC(O)CO,O=P(O)(O)C(O)=C(O)CC(O)CO,2,0.25,0.3438,0.474,0.2051,0.2051,0.7949,0.5,0.3438,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-09T03:57:35Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).
