id_a,id_b,smiles_a,smiles_b,core,frag_a,frag_b,transformation,transformation_class,is_active_a,is_active_b,activity_a_uM,activity_b_uM,potentiation_a_pct,potentiation_b_pct,activity_change
5,11,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*OC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*C,*CCC1CCCCC1,*C -> *CCC1CCCCC1,other,0,0,0.0,0.0,0.0,0.0,no_change
6,10,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,*OC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*Cc1ccccc1,*CC1CC1,*Cc1ccccc1 -> *CC1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
6,11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*OC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*Cc1ccccc1,*CCC1CCCCC1,*Cc1ccccc1 -> *CCC1CCCCC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
10,11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*OC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*CC1CC1,*CCC1CCCCC1,*CC1CC1 -> *CCC1CCCCC1,other,0,0,0.0,0.0,0.0,0.0,no_change
5,13,COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,COC1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,*C1=C(OC)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,*O,*OC,*O -> *OC,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
6,18,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,O=C1O[C@H]([C@H](O)CO)C(OCc2ccccc2)=C1O,*[C@H]1OC(=O)C(O)=C1OCc1ccccc1,*[C@@H]1COC(C)(C)O1,*[C@H](O)CO,*[C@@H]1COC(C)(C)O1 -> *[C@H](O)CO,alkyl_chain_extension,0,1,0.0,1288.0,0.0,500.0,gained_activity
6,14,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)O1,*C1=C(OCc2ccccc2)[C@@H]([C@@H]2COC(C)(C)O2)OC1=O,*O,*OCc1ccccc1,*O -> *OCc1ccccc1,aromatic_substitution,0,0,0.0,0.0,0.0,0.0,no_change
6,10,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,*COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*c1ccccc1,*C1CC1,*c1ccccc1 -> *C1CC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
6,11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCc2ccccc2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*c1ccccc1,*CC1CCCCC1,*c1ccccc1 -> *CC1CCCCC1,alkyl_chain_extension,0,0,0.0,0.0,0.0,0.0,no_change
10,11,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCC2CC2)O1,CC1(C)OC[C@@H]([C@H]2OC(=O)C(O)=C2OCCC2CCCCC2)O1,*COC1=C(O)C(=O)O[C@@H]1[C@@H]1COC(C)(C)O1,*C1CC1,*CC1CCCCC1,*C1CC1 -> *CC1CCCCC1,other,0,0,0.0,0.0,0.0,0.0,no_change
