strategy,parent_id,generated_SMILES,isomeric_SMILES,parent_similarity,experimental_status,generation_mode,source,selection_reason,scaffold_hop,molecule_id
bioisosteric_replacement,25,O=C1O[C@H]([C@H](O)C[Cl])C(O)=C1O,O=C1O[C@H]([C@H](O)C[Cl])C(O)=C1O,0.6774,untested,medchem_baseline,traditional_medicinal_chemistry,bioisostere of active parent,False,MC-10
bioisosteric_replacement,25,N#CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,N#CC[C@@H](O)[C@H]1OC(=O)C(O)=C1O,0.6176,untested,medchem_baseline,traditional_medicinal_chemistry,bioisostere of active parent,False,MC-11
bioisosteric_replacement,25,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,0.225,untested,medchem_baseline,traditional_medicinal_chemistry,bioisostere of active parent,True,MC-12
substituent_scanning,1,Cl.Cl.O=C(Cl)C(O)=CO,Cl.Cl.O=C(Cl)C(O)=CO,0.0526,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-13
substituent_scanning,1,Br.Br.O=C(Br)C(O)=CO,Br.Br.O=C(Br)C(O)=CO,0.0526,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-14
substituent_scanning,1,I.I.O=C(I)C(O)=CO,I.I.O=C(I)C(O)=CO,0.0526,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-15
substituent_scanning,3,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,0.0455,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-16
substituent_scanning,3,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CO,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CO,0.0455,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-17
substituent_scanning,3,C.C.I.I.I.I.O=C(I)C(O)=CO,C.C.I.I.I.I.O=C(I)C(O)=CO,0.0455,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-18
substituent_scanning,4,CCCCCCCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,CCCCCCCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CO,0.1961,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-19
substituent_scanning,4,Br.Br.Br.Br.CCCCCCCC.O=C(Br)C(O)=CO,Br.Br.Br.Br.CCCCCCCC.O=C(Br)C(O)=CO,0.1961,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-20
substituent_scanning,4,CCCCCCCC.I.I.I.I.O=C(I)C(O)=CO,CCCCCCCC.I.I.I.I.O=C(I)C(O)=CO,0.1961,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-21
substituent_scanning,5,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,0.0417,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-22
substituent_scanning,5,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr,0.0417,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-23
substituent_scanning,5,C.C.I.I.I.I.O=C(I)C(O)=CI,C.C.I.I.I.I.O=C(I)C(O)=CI,0.0426,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-24
substituent_scanning,6,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl.c1ccccc1,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl.c1ccccc1,0.0893,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-25
substituent_scanning,6,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr.c1ccccc1,Br.Br.Br.Br.C.C.O=C(Br)C(O)=CBr.c1ccccc1,0.0893,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-26
substituent_scanning,6,C.C.I.I.I.I.O=C(I)C(O)=CI.c1ccccc1,C.C.I.I.I.I.O=C(I)C(O)=CI.c1ccccc1,0.0909,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-27
substituent_scanning,7,C.C.C=C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.C=C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,0.0727,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-28
substituent_scanning,7,Br.Br.Br.Br.C.C.C=C.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.C=C.O=C(Br)C(O)=CBr,0.0727,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-29
substituent_scanning,7,C.C.C=C.I.I.I.I.O=C(I)C(O)=CI,C.C.C=C.I.I.I.I.O=C(I)C(O)=CI,0.0741,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-30
substituent_scanning,8,C.C.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,0.0556,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-31
substituent_scanning,8,Br.Br.Br.Br.C.C.CC.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.CC.O=C(Br)C(O)=CBr,0.0556,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-32
substituent_scanning,8,C.C.CC.I.I.I.I.O=C(I)C(O)=CI,C.C.CC.I.I.I.I.O=C(I)C(O)=CI,0.0566,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-33
substituent_scanning,9,C.C.CCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.CCC.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,0.0893,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-34
substituent_scanning,9,Br.Br.Br.Br.C.C.CCC.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.CCC.O=C(Br)C(O)=CBr,0.0893,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-35
substituent_scanning,9,C.C.CCC.I.I.I.I.O=C(I)C(O)=CI,C.C.CCC.I.I.I.I.O=C(I)C(O)=CI,0.0909,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-36
substituent_scanning,10,C.C.C1CC1.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.C1CC1.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,0.0536,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-37
substituent_scanning,10,Br.Br.Br.Br.C.C.C1CC1.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.C1CC1.O=C(Br)C(O)=CBr,0.0536,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-38
substituent_scanning,10,C.C.C1CC1.I.I.I.I.O=C(I)C(O)=CI,C.C.C1CC1.I.I.I.I.O=C(I)C(O)=CI,0.0545,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-39
substituent_scanning,11,C.C.CC1CCCCC1.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.CC1CCCCC1.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,0.1429,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-40
substituent_scanning,11,Br.Br.Br.Br.C.C.CC1CCCCC1.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.CC1CCCCC1.O=C(Br)C(O)=CBr,0.1429,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-41
substituent_scanning,11,C.C.CC1CCCCC1.I.I.I.I.O=C(I)C(O)=CI,C.C.CC1CCCCC1.I.I.I.I.O=C(I)C(O)=CI,0.1452,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-42
substituent_scanning,12,C.C.C#C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,C.C.C#C.Cl.Cl.Cl.Cl.O=C(Cl)C(O)=CCl,0.0536,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-43
substituent_scanning,12,Br.Br.Br.Br.C.C.C#C.O=C(Br)C(O)=CBr,Br.Br.Br.Br.C.C.C#C.O=C(Br)C(O)=CBr,0.0536,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-44
substituent_scanning,12,C.C.C#C.I.I.I.I.O=C(I)C(O)=CI,C.C.C#C.I.I.I.I.O=C(I)C(O)=CI,0.0545,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-45
substituent_scanning,13,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,0.0217,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-46
substituent_scanning,13,Br.Br.Br.Br.C.C.O=C(Br)C(Br)=CBr,Br.Br.Br.Br.C.C.O=C(Br)C(Br)=CBr,0.0444,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-47
substituent_scanning,13,C.C.I.I.I.I.O=C(I)C(I)=CI,C.C.I.I.I.I.O=C(I)C(I)=CI,0.0222,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-48
substituent_scanning,14,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl.c1ccccc1.c1ccccc1,C.C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl.c1ccccc1.c1ccccc1,0.0727,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-49
substituent_scanning,14,Br.Br.Br.Br.C.C.O=C(Br)C(Br)=CBr.c1ccccc1.c1ccccc1,Br.Br.Br.Br.C.C.O=C(Br)C(Br)=CBr.c1ccccc1.c1ccccc1,0.0926,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-50
substituent_scanning,14,C.C.I.I.I.I.O=C(I)C(I)=CI.c1ccccc1.c1ccccc1,C.C.I.I.I.I.O=C(I)C(I)=CI.c1ccccc1.c1ccccc1,0.0741,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-51
substituent_scanning,15,C.C.C=C.C=C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,C.C.C=C.C=C.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,0.0566,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-52
substituent_scanning,15,Br.Br.Br.Br.C.C.C=C.C=C.O=C(Br)C(Br)=CBr,Br.Br.Br.Br.C.C.C=C.C=C.O=C(Br)C(Br)=CBr,0.0769,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-53
substituent_scanning,15,C.C.C=C.C=C.I.I.I.I.O=C(I)C(I)=CI,C.C.C=C.C=C.I.I.I.I.O=C(I)C(I)=CI,0.0577,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-54
substituent_scanning,16,C.C.CC.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,C.C.CC.CC.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,0.0385,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-55
substituent_scanning,16,Br.Br.Br.Br.C.C.CC.CC.O=C(Br)C(Br)=CBr,Br.Br.Br.Br.C.C.CC.CC.O=C(Br)C(Br)=CBr,0.0588,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-56
substituent_scanning,16,C.C.CC.CC.I.I.I.I.O=C(I)C(I)=CI,C.C.CC.CC.I.I.I.I.O=C(I)C(I)=CI,0.0392,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-57
substituent_scanning,17,C.C.C#N.C#N.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,C.C.C#N.C#N.Cl.Cl.Cl.Cl.O=C(Cl)C(Cl)=CCl,0.0364,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-58
substituent_scanning,17,Br.Br.Br.Br.C.C.C#N.C#N.O=C(Br)C(Br)=CBr,Br.Br.Br.Br.C.C.C#N.C#N.O=C(Br)C(Br)=CBr,0.0556,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-59
substituent_scanning,17,C.C.C#N.C#N.I.I.I.I.O=C(I)C(I)=CI,C.C.C#N.C#N.I.I.I.I.O=C(I)C(I)=CI,0.037,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-60
substituent_scanning,18,Cl.Cl.O=C(Cl)C(O)=CCl.c1ccccc1,Cl.Cl.O=C(Cl)C(O)=CCl.c1ccccc1,0.102,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-61
substituent_scanning,18,Br.Br.O=C(Br)C(O)=CBr.c1ccccc1,Br.Br.O=C(Br)C(O)=CBr.c1ccccc1,0.102,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-62
substituent_scanning,18,I.I.O=C(I)C(O)=CI.c1ccccc1,I.I.O=C(I)C(O)=CI.c1ccccc1,0.1042,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-63
substituent_scanning,19,C=C.Cl.Cl.O=C(Cl)C(O)=CCl,C=C.Cl.Cl.O=C(Cl)C(O)=CCl,0.0833,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-64
substituent_scanning,19,Br.Br.C=C.O=C(Br)C(O)=CBr,Br.Br.C=C.O=C(Br)C(O)=CBr,0.0833,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-65
substituent_scanning,19,C=C.I.I.O=C(I)C(O)=CI,C=C.I.I.O=C(I)C(O)=CI,0.0851,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-66
substituent_scanning,20,CCC.Cl.Cl.O=C(Cl)C(O)=CCl,CCC.Cl.Cl.O=C(Cl)C(O)=CCl,0.102,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-67
substituent_scanning,20,Br.Br.CCC.O=C(Br)C(O)=CBr,Br.Br.CCC.O=C(Br)C(O)=CBr,0.102,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-68
substituent_scanning,20,CCC.I.I.O=C(I)C(O)=CI,CCC.I.I.O=C(I)C(O)=CI,0.1042,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-69
substituent_scanning,21,C1CC1.Cl.Cl.O=C(Cl)C(O)=CCl,C1CC1.Cl.Cl.O=C(Cl)C(O)=CCl,0.06,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-70
substituent_scanning,21,Br.Br.C1CC1.O=C(Br)C(O)=CBr,Br.Br.C1CC1.O=C(Br)C(O)=CBr,0.06,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-71
substituent_scanning,21,C1CC1.I.I.O=C(I)C(O)=CI,C1CC1.I.I.O=C(I)C(O)=CI,0.0612,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-72
substituent_scanning,22,Cl.Cl.O=C(Cl)C(Cl)=CCl,Cl.Cl.O=C(Cl)C(Cl)=CCl,0.0488,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-73
substituent_scanning,22,Br.Br.O=C(Br)C(Br)=CBr,Br.Br.O=C(Br)C(Br)=CBr,0.075,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-74
substituent_scanning,22,I.I.O=C(I)C(I)=CI,I.I.O=C(I)C(I)=CI,0.05,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-75
substituent_scanning,23,Cl.Cl.Cl.Cl.O=CCl,Cl.Cl.Cl.Cl.O=CCl,0.0357,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-76
substituent_scanning,23,Br.Br.Br.Br.O=CBr,Br.Br.Br.Br.O=CBr,0.0357,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-77
substituent_scanning,23,I.I.I.I.O=CI,I.I.I.I.O=CI,0.0357,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-78
substituent_scanning,24,CC.Cl.Cl.O=C(Cl)C(Cl)=CO,CC.Cl.Cl.O=C(Cl)C(Cl)=CO,0.0667,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-79
substituent_scanning,24,Br.Br.CC.O=C(Br)C(Br)=CO,Br.Br.CC.O=C(Br)C(Br)=CO,0.0667,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-80
substituent_scanning,24,CC.I.I.O=C(I)C(I)=CO,CC.I.I.O=C(I)C(I)=CO,0.0667,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-81
substituent_scanning,25,CBr.Cl.O=C(Cl)C(O)=CO,CBr.Cl.O=C(Cl)C(O)=CO,0.0732,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-82
substituent_scanning,25,Br.CBr.O=C(Br)C(O)=CO,Br.CBr.O=C(Br)C(O)=CO,0.075,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-83
substituent_scanning,25,CBr.I.O=C(I)C(O)=CO,CBr.I.O=C(I)C(O)=CO,0.0732,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-84
substituent_scanning,27,C.C.C.C.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.O=CCl,C.C.C.C.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.O=CCl,0.0263,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-85
substituent_scanning,27,Br.Br.Br.Br.Br.Br.Br.Br.C.C.C.C.O=CBr,Br.Br.Br.Br.Br.Br.Br.Br.C.C.C.C.O=CBr,0.0263,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-86
substituent_scanning,27,C.C.C.C.I.I.I.I.I.I.I.I.O=CI,C.C.C.C.I.I.I.I.I.I.I.I.O=CI,0.0263,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-87
substituent_scanning,28,Cl.Cl.Cl.O=CCl,Cl.Cl.Cl.O=CCl,0.037,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-88
substituent_scanning,28,Br.Br.Br.O=CBr,Br.Br.Br.O=CBr,0.037,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-89
substituent_scanning,28,I.I.I.O=CI,I.I.I.O=CI,0.037,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-90
substituent_scanning,29,C=O.Cl.Cl.Cl.O=CCl,C=O.Cl.Cl.Cl.O=CCl,0.0968,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-91
substituent_scanning,29,Br.Br.Br.C=O.O=CBr,Br.Br.Br.C=O.O=CBr,0.0968,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-92
substituent_scanning,29,C=O.I.I.I.O=CI,C=O.I.I.I.O=CI,0.0968,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-93
substituent_scanning,30,Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.ClC(Cl)Cl,Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.ClC(Cl)Cl,0.0588,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Cl,False,MC-94
substituent_scanning,30,Br.Br.Br.Br.Br.Br.Br.Br.Br.ClC(Cl)Cl,Br.Br.Br.Br.Br.Br.Br.Br.Br.ClC(Cl)Cl,0.0588,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to Br,False,MC-95
substituent_scanning,30,ClC(Cl)Cl.I.I.I.I.I.I.I.I.I,ClC(Cl)Cl.I.I.I.I.I.I.I.I.I,0.0588,untested,medchem_baseline,traditional_medicinal_chemistry,substituent swap to I,False,MC-96
