MW,LogP,TPSA,HBD,HBA,RotBonds,RingCount,AromaticRings,FractionCSP3,HeavyAtomCount
0.009886700315326073,0.015843019869194768,0.013041645537525372,0.01212688879468518,2.942091015256663e-18,0.020206600662682272,0.004707680374047119,1.4516166046973907e-17,0.020226496031560633,0.010549489362962683
0.0179403569557184,0.014538344226579531,0.007622387144445979,0.009737952696243352,7.375052949295676e-18,0.009912756524521267,0.005200914386872638,0.0,0.013636887950554264,0.006664024953770015
0.010628652329051408,0.01803657430841855,0.006772510989842264,0.013352656306179558,1.875468867216781e-05,0.01797368756572807,0.011784822014251411,0.006298156279817106,0.016892953376355248,0.010470321097773289
0.02001215899077007,0.018973854427766355,0.012726808249495158,0.013718733325329753,0.0003079710144927592,0.013051503195043565,0.00529234721322424,0.01479965857801483,0.01707321306937143,0.014474016983567619
0.006841065484865179,0.017273071767086912,0.02008610461811976,0.007116357299010271,0.0,0.0072647593707145085,0.0012961321022002972,0.004624700905836632,0.007398305379537743,0.006029732830880715
0.004478021978021979,0.003666666666666674,1.1796119636642263e-17,0.016063964770861312,7.575757575761116e-05,0.01549397703745527,0.008151656314699773,3.5527136788004936e-17,0.017433370976849237,0.015844155844155813
0.007098047010563672,0.011895042590821163,0.0036162605856893447,0.013549432132421085,0.0006896551724137933,0.010587225900812468,0.0033461022666309644,0.0,0.016102049833197928,0.006148058218602296
0.011860920326491687,0.005211654925225573,0.014419593088071359,0.012218465159618441,1.4887081466564593e-17,0.003205128205128202,0.005126427494074572,0.00022916666666671526,0.0032511148272017947,0.016833735909822862
0.01941793033964084,0.02598033857825496,0.01515645614081646,0.00583933427683428,0.0,0.013761080928987106,0.006664475922116003,0.0,0.030955906282141163,0.01416919739617107
0.013196642156773927,0.01668700702297966,0.01770568096427499,0.022449932750959252,0.0010510942578548248,0.007698457104132282,0.008809364065562533,0.0005418677025123839,0.015482119529413222,0.011459923636032345
0.013572472848788642,0.0107748973828196,0.007484473859473861,0.006832887792985057,0.0010496794871794964,0.016287757282776247,0.005499084249084249,0.0035397267206477745,0.038806997764354055,0.014783117478136461
0.0005265116324478263,0.00367862545392065,0.0,0.0,0.0,0.0192393929524948,0.0,0.0,0.0001426282902402525,0.012149606677791407
