molecule_id,generation_mode,source,SMILES,isomeric_SMILES,parent_id,TAF_score_2d,predicted_activity,predictive_uncertainty,similarity_to_train_max,similarity_to_active_max,novelty,uncertainty,information_gain_score,applicability_domain,selection_reason,experimental_status,created_at,portfolio_group,hypothesis_linked,mol,chemotype_scaffold,novel_scaffold,lipinski_violations,pains_flag,brenk_flag,druglike_lipinski,pains_clean,brenk_clean,druglike,molecule_tier,family_id
NEG-18-no_OH,negative_control,control_design,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,CC[C@@H]1OC(=O)C(O)=C1OCc1ccccc1,18,0.25,0.305,0.4604,0.5778,0.5778,0.4222,0.6,0.305,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb55e70>,O=C1C=C(OCc2ccccc2)CO1,0,0,0,0,1,1,1,1,2,CHT-006
NEG-24-no_OH,negative_control,control_design,CCCOC1=C(O)[C@H](CC)OC1=O,CCCOC1=C(O)[C@H](CC)OC1=O,24,0.25,0.35,0.477,0.5789,0.5789,0.4211,0.6,0.35,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb57530>,O=C1C=CCO1,0,0,0,0,1,1,1,1,2,CHT-001
NEG-25-no_OH,negative_control,control_design,O=C1O[C@@H](CCBr)C(O)=C1O,O=C1O[C@@H](CCBr)C(O)=C1O,25,0.5,0.56,0.4964,0.4706,0.4706,0.5294,0.6,0.44,NEAR-DOMAIN,TAF-disrupting control: no_OH,untested,2026-09-15T01:45:37Z,E_information_gain,Candidates near the frozen-model decision boundary maximally discriminate competing hypotheses H1-H6 (section 36).,<rdkit.Chem.rdchem.Mol object at 0x1531afb54d60>,O=C1C=CCO1,0,0,0,1,1,1,0,0,2,CHT-001
MC-0,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,0.25,0.34,0.4737,0.2051,0.2051,0.7949,0.5,0.34,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,F_uncertainty_reduction,,<rdkit.Chem.rdchem.Mol object at 0x1531afb547b0>,O=P(O)(O)C(O)=C(O)C[C@H](O)CO,1,1,0,1,1,1,0,0,3,CHT-005
MC-1,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)CC(O)CO,O=P(O)(O)C(O)=C(O)CC(O)CO,2,0.25,0.34,0.4737,0.2051,0.2051,0.7949,0.5,0.34,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,F_uncertainty_reduction,,<rdkit.Chem.rdchem.Mol object at 0x1531afb57990>,O=P(O)(O)C(O)=C(O)CC(O)CO,1,1,0,1,1,1,0,0,3,CHT-004
MC-2,medchem_baseline,traditional_medicinal_chemistry,CC1(C)OC[C@@H](CC(O)=C(O)P(=O)(O)O)O1,CC1(C)OC[C@@H](CC(O)=C(O)P(=O)(O)O)O1,3,0.0,0.21,0.4073,0.3043,0.3043,0.6957,0.5,0.21,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,F_uncertainty_reduction,,<rdkit.Chem.rdchem.Mol object at 0x1531afb576f0>,C1COCO1,1,0,0,1,1,1,0,0,3,CHT-002
MC-3,medchem_baseline,traditional_medicinal_chemistry,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,C#CCOC(C[C@H]1COC(C)(C)O1)=C(O)P(=O)(O)O,12,0.25,0.31,0.4625,0.3729,0.3729,0.6271,0.5,0.31,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,F_uncertainty_reduction,,<rdkit.Chem.rdchem.Mol object at 0x1531afb54890>,C1COCO1,1,0,0,1,1,1,0,0,3,CHT-002
MC-6,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,O=P(O)(O)C(O)=C(C[C@H](O)CO)OCc1ccccc1,18,0.25,0.445,0.497,0.3585,0.3585,0.6415,0.5,0.445,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,F_uncertainty_reduction,,<rdkit.Chem.rdchem.Mol object at 0x1531afb57ae0>,c1ccccc1,1,0,0,1,1,1,0,0,3,CHT-007
MC-7,medchem_baseline,traditional_medicinal_chemistry,CCCOC(=C(O)C[C@H](O)CO)P(=O)(O)O,CCCOC(=C(O)C[C@H](O)CO)P(=O)(O)O,24,0.25,0.265,0.4413,0.2857,0.2857,0.7143,0.5,0.265,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,F_uncertainty_reduction,,<rdkit.Chem.rdchem.Mol object at 0x1531afb56490>,CCCOC(=C(O)C[C@H](O)CO)P(=O)(O)O,1,0,0,1,1,1,0,0,3,CHT-008
MC-10,medchem_baseline,traditional_medicinal_chemistry,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,25,0.5,0.375,0.4841,0.225,0.225,0.775,0.5,0.375,OUT-OF-DOMAIN,bioisostere of active parent,untested,2026-09-15T01:45:37Z,F_uncertainty_reduction,,<rdkit.Chem.rdchem.Mol object at 0x1531afb55930>,O=P(O)(O)C(O)=C(O)C[C@H](O)CBr,1,0,0,1,1,1,0,0,3,CHT-003
